net,length_um
Inst_LUT4AB_ConfigMem.Inst_Frame2_bit24.Q,19.48µm
N4END[13],19.45µm
EE4END[15],19.4µm
Inst_LUT4AB_switch_matrix.S1BEG2,19.4µm
net402,19.38µm
_0224_,19.34µm
NN4END[11],19.32µm
Inst_LUT4AB_ConfigMem.Inst_Frame8_bit11.Q,19.3µm
net413,19.3µm
net199,19.28µm
_0593_,19.2µm
E6END[11],19.18µm
SS4END[13],19.18µm
EE4END[12],19.11µm
S4END[13],19.11µm
Inst_LUT4AB_ConfigMem.Inst_Frame3_bit24.Q,19.1µm
net176,19.08µm
_0241_,19.02µm
net178,19.02µm
_0296_,19µm
NN4END[7],18.95µm
W6END[2],18.95µm
net661,18.94µm
Inst_LUT4AB_ConfigMem.Inst_Frame1_bit26.Q,18.91µm
N4END[6],18.86µm
_0011_,18.84µm
_0012_,18.84µm
_0223_,18.84µm
E6END[3],18.77µm
N4END[10],18.77µm
NN4END[14],18.77µm
SS4END[4],18.77µm
S4END[7],18.72µm
Inst_LUT4AB_ConfigMem.Inst_Frame1_bit27.Q,18.66µm
Inst_LUT4AB_ConfigMem.Inst_Frame3_bit20.Q,18.66µm
S4END[10],18.61µm
_0636_,18.55µm
_0054_,18.51µm
net265,18.48µm
Inst_LUT4AB_ConfigMem.Inst_Frame2_bit19.Q,18.46µm
N4END[7],18.43µm
S4END[5],18.43µm
W6END[3],18.43µm
W6END[6],18.43µm
W6END[9],18.43µm
Inst_LUT4AB_ConfigMem.Inst_Frame6_bit15.Q,18.41µm
EE4END[9],18.4µm
Inst_LUT4AB_ConfigMem.Inst_Frame12_bit2.Q,18.4µm
Inst_LUT4AB_ConfigMem.Inst_Frame18_bit0.Q,18.4µm
_0532_,18.33µm
Inst_LUT4AB_ConfigMem.Inst_Frame2_bit17.Q,18.28µm
net36,18.26µm
_0390_,18.24µm
EE4END[4],18.16µm
Inst_LUT4AB_ConfigMem.Inst_Frame13_bit23.Q,18.14µm
Inst_LUT4AB_ConfigMem.Inst_Frame3_bit13.Q,18.12µm
_0221_,18.1µm
net349,18.06µm
_0282_,18.02µm
net386,18.02µm
Inst_LUT4AB_ConfigMem.Inst_Frame4_bit8.Q,17.94µm
WW4END[15],17.94µm
Inst_LUT4AB_ConfigMem.Inst_Frame2_bit31.Q,17.92µm
Inst_LUT4AB_ConfigMem.Inst_Frame1_bit20.Q,17.9µm
net371,17.9µm
S4END[15],17.8µm
SS4END[10],17.8µm
WW4END[8],17.8µm
Inst_LUT4AB_ConfigMem.Inst_Frame19_bit13.Q,17.76µm
Inst_LUT4AB_ConfigMem.Inst_Frame7_bit10.Q,17.64µm
_0469_,17.58µm
Inst_LUT4AB_ConfigMem.Inst_Frame19_bit7.Q,17.54µm
Inst_LUT4AB_ConfigMem.Inst_Frame5_bit19.Q,17.48µm
